town,latitude,longitude
"Alegría-Dulantzi",42.841519,-2.5120525
"Amurrio",43.0510034,-2.9997847
"Aramaio",43.0352061,-2.585761508234
"Artziniega",43.1210566,-3.1286742
"Armiñón",42.722587,-2.8722115
"Arratzua-Ubarrundia",42.91823515,-2.590652453198305
"Asparrena",42.88625135,-2.2855075098609063
"Ayala/Aiara",43.0761006,-3.0790858063581146
"Baños de Ebro/Mañueta",42.5295829,-2.6789897
"Barrundia",42.9148432,-2.502764446484118
"Berantevilla",42.682852,-2.8589445
"Bernedo",42.6267187,-2.4980928
"Campezo/Kanpezu",42.6691469,-2.3520513
"Zigoitia",42.9568048,-2.7350578
"Kripan",42.5919931,-2.5153878
"Kuartango",42.88637265,-2.940142250451188
"Elburgo/Burgelu",42.8495927,-2.5448025
"Elciego",42.5153808,-2.6181739
"Elvillar/Bilar",42.5704082,-2.5451889
"Iruraiz-Gauna",42.83119595,-2.429649024504065
"Labastida/Bastida",42.5903817,-2.7928698
"Lagrán",42.6255515,-2.5836433
"Laguardia",42.5535011,-2.5850848
"Lanciego/Lantziego",42.5625294,-2.5125875
"Lapuebla de Labarca",42.4934805,-2.5755974
"Leza",42.5655553,-2.6342866
"Laudio/Llodio",43.1417601,-2.9622358
"Arraia-Maeztu",42.7402633,-2.447547539206117
"Moreda de Álava/Moreda Araba",42.5246992,-2.4085108
"Navaridas",42.5451728,-2.6247534
"Okondo",43.1563569,-3.0267954
"Oyón-Oion",42.506553,-2.4357886
"Peñacerrada-Urizaharra",42.6441334,-2.7136577
"Erriberagoitia/Ribera Alta",42.79799675,-2.9040572861902803
"Ribera Baja/Erriberabeitia",42.72556405,-2.9076506813199643
"Añana",42.8021497,-2.9864169
"Agurain/Salvatierra",42.8492823,-2.3890592
"Samaniego",42.5682299,-2.6790583
"San Millán/Donemiliaga",42.87987175000001,-2.390978260062809
"Urkabustaiz",42.9709057,-2.9186291298186964
"Valdegovía/Gaubea",42.85558735,-3.061015492843744
"Harana/Valle de Arana",42.756719700000005,-2.3207100248705776
"Villabuena de Álava/Eskuernaga",42.5470187,-2.665437
"Legutio",42.9794699,-2.6408374
"Vitoria-Gasteiz",42.8465088,-2.6724025
"Yécora/Iekora",42.5678349,-2.4704011
"Zalduondo",42.88569,-2.347318
"Zambrana",42.6611191,-2.8793698
"Zuia",42.981719850000005,-2.831939337281476
"Iruña Oka/Iruña de Oca",42.8246442,-2.820600570208913
"Lantarón",42.74782595,-2.994227429139244
"Abengibre",39.2089284,-1.5420192
"Alatoz",39.0955185,-1.3610539
"Albacete",38.9950921,-1.8559154
"Albatana",38.5709891,-1.5226396
"Alborea",39.2790903,-1.3960986
"Alcadozo",38.6488936,-1.980391
"Alcalá del Júcar",39.1928901,-1.4289945
"Alcaraz",38.6647483,-2.4910801
"Almansa",38.8682065,-1.0978627
"Alpera",38.9596638,-1.2308857
